"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 26 17:18:14 GMT 2022","Sun Jun 26 17:18:14 GMT 2022","455","tests","test_get_characters","TestCharacters","","","test_all_characters",""
"passed","Sun Jun 26 17:18:00 GMT 2022","Sun Jun 26 17:18:02 GMT 2022","1236","tests","test_book_store_account_version2","TestBookStore","","","test_user_create","create new user"
"passed","Sun Jun 26 17:18:18 GMT 2022","Sun Jun 26 17:18:19 GMT 2022","1225","tests","test_get_characters","TestCharacters","","","test_character_limit_offset",""
"passed","Sun Jun 26 17:17:55 GMT 2022","Sun Jun 26 17:17:56 GMT 2022","341","tests","test_9kovlev_get_episodes","TestCharacters","","","test_first_episoode",""
"passed","Sun Jun 26 17:18:04 GMT 2022","Sun Jun 26 17:18:04 GMT 2022","0","tests","test_dummy","TestSuite2","","","test_12",""
"skipped","Sun Jun 26 17:18:04 GMT 2022","Sun Jun 26 17:18:04 GMT 2022","0","tests","test_dummy","TestSuite2","","","test_15",""
"passed","Sun Jun 26 17:18:25 GMT 2022","Sun Jun 26 17:18:25 GMT 2022","75","tests","test_restful_booker_api","TestRestfulBooker","","","test_4_get_booking_filter_by_id","Get booking filter by id"
"passed","Sun Jun 26 17:18:25 GMT 2022","Sun Jun 26 17:18:25 GMT 2022","134","tests","test_restful_booker_api","TestRestfulBooker","","","test_2_get_booking_ids","Get all booking ids"
"passed","Sun Jun 26 17:17:57 GMT 2022","Sun Jun 26 17:17:57 GMT 2022","401","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_1_create_new_user",""
"passed","Sun Jun 26 17:18:11 GMT 2022","Sun Jun 26 17:18:14 GMT 2022","3260","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_6_check_delayed_response","Checking delayed page calls"
"passed","Sun Jun 26 17:18:25 GMT 2022","Sun Jun 26 17:18:25 GMT 2022","77","tests","test_restful_booker_api","TestRestfulBooker","","","test_1_create_auth_token","Generate token"
"passed","Sun Jun 26 17:18:10 GMT 2022","Sun Jun 26 17:18:11 GMT 2022","499","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_5_login","Registration successful"
"passed","Sun Jun 26 17:18:21 GMT 2022","Sun Jun 26 17:18:21 GMT 2022","344","tests","test_get_episodes","TestEpisodes","","","test_episodes_by_part_name_of_series",""
"passed","Sun Jun 26 17:18:07 GMT 2022","Sun Jun 26 17:18:08 GMT 2022","1646","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_2_check_list_resource_pages","Getting the default list of resources. Determining the number of ID resources."
"passed","Sun Jun 26 17:18:22 GMT 2022","Sun Jun 26 17:18:22 GMT 2022","366","tests","test_get_episodes","TestEpisodes","","","test_get_episode_by_series",""
"passed","Sun Jun 26 17:18:04 GMT 2022","Sun Jun 26 17:18:04 GMT 2022","0","tests","test_dummy","TestSuite","","","test_3",""
"passed","Sun Jun 26 17:18:14 GMT 2022","Sun Jun 26 17:18:15 GMT 2022","344","tests","test_get_characters","TestCharacters","","","test_character_by_category",""
"passed","Sun Jun 26 17:18:17 GMT 2022","Sun Jun 26 17:18:18 GMT 2022","494","tests","test_get_characters","TestCharacters","","","test_character_invalid_limit",""
"passed","Sun Jun 26 17:18:08 GMT 2022","Sun Jun 26 17:18:10 GMT 2022","1257","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_3_CrUD_user","Creating a user"
"passed","Sun Jun 26 17:18:23 GMT 2022","Sun Jun 26 17:18:24 GMT 2022","444","tests","test_get_quotes","TestGetQuotes","","","test_get_quote_by_id",""
"passed","Sun Jun 26 17:17:59 GMT 2022","Sun Jun 26 17:18:00 GMT 2022","1196","tests","test_book_store_account_version2","TestBookStore","","","test_delete","delete new user"
"skipped","Sun Jun 26 17:17:58 GMT 2022","Sun Jun 26 17:17:58 GMT 2022","1","tests","test_book_store_account","TestBookStore","","","test_1_user_create","create new user"
